gene,c6_chrom,start,end,gene_ID,Type,Synonyms
VCSEN_aTSS3377,1,1158548,1158548,"",misc_feature,""
VC1091,1,1158668,1160299,oppA,CDS,""
VCSEN_ancRNA190,1,1160353,1160685,"",misc_RNA,""
VC1092,1,1160448,1161368,oppB,CDS,""
VCSEN_aTSS743,1,1160685,1160685,"",misc_feature,""
VC1093,1,1161382,1162284,oppC,CDS,""
VC1094,1,1162309,1163283,oppD,CDS,""
VC1095,1,1163262,1164272,oppF,CDS,""
VCSEN_ancRNA191,1,1164413,1164732,"",misc_RNA,""
VC1096,1,1164422,1165369,"",CDS,""
VCSEN_aTSS745,1,1164732,1164732,"",misc_feature,""
VC1097,1,1165467,1167611,pta,CDS,""
VC1098,1,1167747,1168943,ackA,CDS,""
VCSEN_aTSS3379,1,1168848,1168848,"",misc_feature,""
VCSEN_aTSS747,1,1169156,1169156,"",misc_feature,""
VCSEN_aTSS749,1,1169176,1169176,"",misc_feature,""
VC1099,1,1169290,1169748,yfbV,CDS,""
VC1100,1,1169871,1170281,"",CDS,""
VCSEN_aTSS3381,1,1170631,1170631,"",misc_feature,""
VC1101,1,1170719,1171684,"",CDS,""
VC1102,1,1171760,1172743,"",CDS,""
VC1103,1,1172740,1173534,"",CDS,""
VC1104,1,1173701,1175170,"",CDS,""
VC1105,1,1175203,1176174,dusC,CDS,""
VCSEN_aTSS3383,1,1176314,1176314,"",misc_feature,""
VC1106,1,1176331,1176960,"",CDS,""
VC1107,1,1177056,1177652,lolA,CDS,""
VC1108,1,1177677,1179026,rarA,CDS,""
VCSEN_ancRNA192,1,1177768,1178258,"",misc_RNA,""
VCSEN_aTSS751,1,1178258,1178258,"",misc_feature,""
VCSEN_aTSS3385,1,1179051,1179051,"",misc_feature,""
VC1110,1,1179130,1180437,serS,CDS,""
VC1111,1,1180544,1181830,bioA,CDS,""
VCSEN_aTSS753,1,1181888,1181888,"",misc_feature,""
VCSEN_aTSS3387,1,1181926,1181926,"",misc_feature,""
VC1112,1,1181957,1183009,bioB,CDS,""
VC1113,1,1182993,1184147,bioF,CDS,""
VC1114,1,1184144,1184947,bioC,CDS,""
VCSEN_aTSS3389,1,1184746,1184746,"",misc_feature,""
VC1115,1,1184944,1185639,bioD,CDS,""
VCSEN_aTSS3391,1,1185232,1185232,"",misc_feature,""
VC1116,1,1185721,1185891,"",CDS,""
VCSEN_aTSS755,1,1185926,1185926,"",misc_feature,""
VCSEN_aTSS3393,1,1186083,1186083,"",misc_feature,""
VC1117,1,1186157,1187020,htpX,CDS,""
VC1118,1,1187230,1187658,"",CDS,""
VC1119,1,1187655,1188380,"",CDS,""
VC1120,1,1188391,1189671,"",CDS,""
VCSEN_aTSS3395,1,1189402,1189402,"",misc_feature,""
VC1121,1,1189671,1190480,"",CDS,""
VC1122,1,1190470,1191711,"",CDS,""
VC1123,1,1191714,1192253,"",CDS,""
VC1124,1,1192186,1192752,"",CDS,""
VC1125,1,1192749,1193276,"",CDS,""
VC1126,1,1193367,1194737,purB,CDS,""
VC1127,1,1194795,1195412,hflD,CDS,""
VC1128,1,1195435,1196553,mnmA,CDS,""
VCSEN_aTSS757,1,1195861,1195861,"",misc_feature,""
VCSEN_aTSS759,1,1196575,1196575,"",misc_feature,""
VCSEN_aTSS3397,1,1196785,1196785,"",misc_feature,""
VC1129,1,1196815,1198119,gsk,CDS,""
VCSEN_aTSS761,1,1196931,1196931,"",misc_feature,""
VC1130,1,1198167,1198580,hns,CDS,"vicH,bglY, cur, drc, drdX"
VCSEN_aTSS763,1,1198603,1198603,"",misc_feature,""
VCSEN_aTSS765,1,1198644,1198644,"",misc_feature,""
VCSEN_aTSS3399,1,1198913,1198913,"",misc_feature,""
VC1131,1,1199268,1200869,"",CDS,""
VCSEN_aTSS3401,1,1201037,1201037,"",misc_feature,""
VC1132,1,1201260,1202174,hisG,CDS,""
VC1133,1,1202179,1203474,hisD,CDS,""
VC1134,1,1203478,1204518,hisC,CDS,""
VC1135,1,1204570,1205643,hisB,CDS,""
VC1136,1,1205643,1206254,hisH,CDS,""
VC1137,1,1206297,1207034,hisA,CDS,""
VC1138,1,1207016,1207789,hisF,CDS,""
VC1139,1,1207786,1208418,hisI,CDS,""
VC1140,1,1208619,1209344,rluE,CDS,""
VCSEN_aTSS3403,1,1209422,1209422,"",misc_feature,""
VCSEN_aTSS767,1,1209438,1209438,"",misc_feature,""
VCSEN_aTSS3405,1,1209484,1209484,"",misc_feature,""
VC1141,1,1209652,1211877,icd,CDS,""
VCSEN_ancRNA193,1,1211578,1211874,"",misc_RNA,""
VCSEN_aTSS769,1,1211874,1211874,"",misc_feature,""
VC1142,1,1211976,1212206,cspD,CDS,""
VCSEN_aTSS3407,1,1212212,1212212,"",misc_feature,""
VCSEN_ancRNA194,1,1212212,1212544,"",misc_RNA,""
VCSEN_aTSS771,1,1212318,1212318,"",misc_feature,""
VCSEN_aTSS3409,1,1212546,1212546,"",misc_feature,""
VCSEN_aTSS3411,1,1212560,1212560,"",misc_feature,""
VC1143,1,1212670,1212990,clpS,CDS,""
VCSEN_aTSS3413,1,1212915,1212915,"",misc_feature,""
VC1144,1,1213029,1215299,clpA,CDS,lopD
VC1145,1,1215368,1217044,"",CDS,""
VC1146,1,1217246,1217509,grxA,CDS,grx
VCSEN_aTSS773,1,1217531,1217531,"",misc_feature,""
VCSEN_aTSS3415,1,1217788,1217788,"",misc_feature,""
VC1147,1,1217797,1219065,"",CDS,""
VC1148,1,1219156,1220010,hexR,CDS,""
VCSEN_aTSS3417,1,1219530,1219530,"",misc_feature,""
VCSEN_ancRNA195,1,1219530,1219742,"",misc_RNA,""
VCSEN_aTSS775,1,1220109,1220109,"",misc_feature,""
VC1149,1,1220318,1221964,"",CDS,""
VCSEN_aTSS3419,1,1221830,1221830,"",misc_feature,""
VCSEN_ancRNA196,1,1221830,1222218,"",misc_RNA,""
VC1150,1,1222074,1222583,"",CDS,""
VCSEN_aTSS777,1,1222731,1222731,"",misc_feature,""
VC1151,1,1222772,1223677,"",CDS,""
VC1152,1,1223698,1224618,"",CDS,""
VCSEN_aTSS779,1,1223904,1223904,"",misc_feature,""
VCSEN_aTSS781,1,1224641,1224641,"",misc_feature,""
VCSEN_aTSS3421,1,1224872,1224872,"",misc_feature,""
VC1153,1,1224996,1225583,tfoX,CDS,sxy
VC1154,1,1225679,1226227,"",CDS,""
VCSEN_aTSS783,1,1226383,1226383,"",misc_feature,""
VC1155,1,1226418,1226963,"",CDS,""
VC1156,1,1226912,1228207,"",CDS,""
VCSEN_aTSS3423,1,1227270,1227270,"",misc_feature,""
VCSEN_ancRNA197,1,1227270,1227595,"",misc_RNA,""
VC1157,1,1228096,1228866,"",CDS,""
VCSEN_aTSS785,1,1228891,1228891,"",misc_feature,""
VCSEN_aTSS3425,1,1229040,1229040,"",misc_feature,""
VCSEN_aTSS3427,1,1229063,1229063,"",misc_feature,""
VC1158,1,1229089,1230354,"",CDS,""
VCSEN_aTSS3429,1,1230446,1230446,"",misc_feature,""
VC1159,1,1230476,1231570,serC,CDS,"pdxC, pdxF"
VC1160,1,1231651,1232640,"",CDS,""
VC1161,1,1232640,1234148,"",CDS,""
VC1162,1,1234157,1234894,"",CDS,""
VC1163,1,1235014,1235985,cmoB,CDS,""
VC1164,1,1236097,1236837,cmoA,CDS,""
VC1165,1,1236963,1237832,"",CDS,""
VCSEN_aTSS787,1,1237865,1237865,"",misc_feature,""
VCSEN_aTSS3431,1,1237905,1237905,"",misc_feature,""
VCSEN_aTSS3433,1,1237984,1237984,"",misc_feature,""
VCSEN_aTSS3435,1,1238042,1238042,"",misc_feature,""
VC1166,1,1238124,1239899,aspS,CDS,tls
VC1167,1,1239996,1240574,tdk,CDS,""
VC1168,1,1240676,1241932,"",CDS,""
VCSEN_aTSS789,1,1242008,1242008,"",misc_feature,""
VCSEN_aTSS3437,1,1242045,1242045,"",misc_feature,""
VCSEN_ancRNA198,1,1242045,1243418,"",misc_RNA,""
VC1169,1,1242248,1243054,trpA,CDS,""
VC1170,1,1243054,1244244,trpB,CDS,""
VC1171,1,1244285,1245694,trpCF,CDS,""
VC1172,1,1245700,1246698,trpD,CDS,""
VC1173,1,1246719,1247330,trpG,CDS,""
VC1174,1,1247327,1248898,trpE,CDS,"anth, tryD, tryp-4"
VC1176,1,1249032,1249142,trpL,CDS,""
VCSEN_aTSS3439,1,1249149,1249149,"",misc_feature,""
VCSEN_aTSS791,1,1249172,1249172,"",misc_feature,""
VC1177,1,1249234,1250106,trpH,CDS,""
VCSEN_aTSS3441,1,1249857,1249857,"",misc_feature,""
VC1178,1,1250109,1250729,"",CDS,""
VCSEN_aTSS3443,1,1250799,1250799,"",misc_feature,""
VC1179,1,1250862,1251827,rluB,CDS,""
VC1180,1,1251995,1253716,cydC,CDS,""
VC1181,1,1253709,1255496,cydD,CDS,htrD
VCSEN_aTSS793,1,1255532,1255532,"",misc_feature,""
VC1182,1,1255616,1256572,trxB,CDS,""
VCSEN_aTSS795,1,1256651,1256651,"",misc_feature,""
VCSEN_aTSS3445,1,1257013,1257013,"",misc_feature,""
VC1183,1,1257047,1257706,"",CDS,""
VCSEN_aTSS3447,1,1257502,1257502,"",misc_feature,""
VC1184,1,1257681,1258931,"",CDS,""
VCSEN_aTSS3449,1,1259115,1259115,"",misc_feature,""
VC1185,1,1259189,1260520,"",CDS,""
VC1186,1,1260621,1261322,sanA,CDS,""
VC1187,1,1261358,1261726,"",CDS,""
VCSEN_aTSS797,1,1261477,1261477,"",misc_feature,""
VC1188,1,1261730,1263418,sfcA,CDS,""
VCSEN_aTSS3451,1,1263449,1263449,"",misc_feature,""
VCSEN_ancRNA199,1,1263449,1263779,"",misc_RNA,""
VCSEN_aTSS799,1,1263453,1263453,"",misc_feature,""
VCSEN_aTSS3453,1,1263830,1263830,"",misc_feature,""
VC1189,1,1263860,1264234,"",CDS,""
VC1190,1,1264436,1265542,"",CDS,""
VC1191,1,1265708,1266106,unfA,CDS,""
VCSEN_aTSS801,1,1266133,1266133,"",misc_feature,""
VCSEN_aTSS3455,1,1266156,1266156,"",misc_feature,""
VCSEN_ancRNA200,1,1266156,1266388,"",misc_RNA,""
VC1193,1,1266398,1266580,"",CDS,""
VCSEN_aTSS803,1,1266615,1266615,"",misc_feature,""
VC1194,1,1266731,1267783,"",CDS,""
VC1195,1,1267848,1268519,"",CDS,""
VCSEN_aTSS805,1,1268546,1268546,"",misc_feature,""
VC1196,1,1268619,1269308,"",CDS,""
VC1197,1,1269433,1270116,"",CDS,""
VCSEN_aTSS807,1,1270193,1270193,"",misc_feature,""
VCSEN_aTSS809,1,1270211,1270211,"",misc_feature,""
VCSEN_aTSS3457,1,1270255,1270255,"",misc_feature,""
VC1198,1,1270299,1273364,"",CDS,""
VCSEN_aTSS811,1,1270526,1270526,"",misc_feature,""
VC1199,1,1273414,1273881,"",CDS,""
VCSEN_ancRNA201,1,1273695,1273890,"",misc_RNA,""
VCSEN_aTSS813,1,1273890,1273890,"",misc_feature,""
VCSEN_aTSS3459,1,1273980,1273980,"",misc_feature,""
VC1200,1,1274131,1275342,"",CDS,""
VC1201,1,1275417,1276142,"",CDS,""
VCSEN_aTSS815,1,1276166,1276166,"",misc_feature,""
VC1202,1,1276291,1277826,hutH,CDS,""
VC1203,1,1277838,1279535,hutU,CDS,""
VC1204,1,1279554,1280564,"",CDS,""
VC1205,1,1280554,1281762,hutI,CDS,""
VCSEN_aTSS817,1,1281797,1281797,"",misc_feature,""
VC1206,1,1281866,1282576,hutC,CDS,""
VCSEN_aTSS819,1,1282606,1282606,"",misc_feature,""
VC1207,1,1282693,1283640,"",CDS,""
VCSEN_aTSS821,1,1283667,1283667,"",misc_feature,""
VC1208,1,1283779,1284099,"",CDS,""
VC1209,1,1284104,1284670,"",CDS,""
VCSEN_aTSS823,1,1284695,1284695,"",misc_feature,""
VCSEN_aTSS3461,1,1284828,1284828,"",misc_feature,""
VCSEN_aTSS3463,1,1284862,1284862,"",misc_feature,""
VC1210,1,1284889,1285656,"",CDS,""
VCSEN_aTSS3465,1,1285741,1285741,"",misc_feature,""
VC1211,1,1285765,1287864,"",CDS,""
VC1212,1,1287836,1290199,polB,CDS,dinA
VCSEN_aTSS3467,1,1290258,1290258,"",misc_feature,""
VCSEN_aTSS3469,1,1290483,1290483,"",misc_feature,""
VC1213,1,1290575,1291219,uvrY,CDS,varA
VC1214,1,1291219,1293051,uvrC,CDS,""
VCSEN_aTSS3471,1,1293075,1293075,"",misc_feature,""
VC1215,1,1293099,1293656,pgsA,CDS,""
VCt056,1,1293914,1293987,tRNA-Cys-1,tRNA,""
VCt057,1,1293990,1294065,tRNA-Gly-1,tRNA,""
VCt058,1,1294130,1294216,tRNA-Leu-1,tRNA,""
VCt059,1,1294227,1294302,tRNA-Gly-2,tRNA,""
VCSEN_aTSS3473,1,1294490,1294490,"",misc_feature,""
VC1216,1,1294549,1295667,"",CDS,""
VC1217,1,1295664,1296149,"",CDS,""
VCSEN_aTSS825,1,1296211,1296211,"",misc_feature,""
VCSEN_aTSS3475,1,1296327,1296327,"",misc_feature,""
VC1219,1,1296440,1297423,pheS,CDS,phe-act
VC1220,1,1297450,1299837,pheT,CDS,""
VCSEN_aTSS3477,1,1299998,1299998,"",misc_feature,""
VCSEN_aTSS3479,1,1300184,1300184,"",misc_feature,""
VC1222,1,1300276,1300572,ihfA,CDS,"hid, himA"
VC1224,1,1300701,1301480,"",CDS,""
VCSEN_aTSS827,1,1301514,1301514,"",misc_feature,""
VC1225,1,1301552,1301797,"",CDS,""
VCSEN_aTSS829,1,1301576,1301576,"",misc_feature,""
VCSEN_aTSS831,1,1301799,1301799,"",misc_feature,""
VCSEN_aTSS3481,1,1301927,1301927,"",misc_feature,""
VC1226,1,1301949,1302605,tpm,CDS,""
VC1228,1,1302698,1303879,purT,CDS,""
VCSEN_aTSS833,1,1303915,1303915,"",misc_feature,""
VC1229,1,1304027,1304902,"",CDS,""
VC1230,1,1304979,1305098,"",CDS,""
VC1231,1,1305061,1305948,cdd,CDS,""
VCSEN_aTSS835,1,1305969,1305969,"",misc_feature,""
VCSEN_aTSS3483,1,1306054,1306054,"",misc_feature,""
VCSEN_ancRNA202,1,1306054,1306401,"",misc_RNA,""
VC1232,1,1306118,1306792,"",CDS,""
VC1233,1,1306783,1307172,"",CDS,""
VC1234,1,1307189,1308613,sbcB,CDS,"xonA, cpeA"
VC1235,1,1308759,1310174,"",CDS,""
VCSEN_aTSS837,1,1310216,1310216,"",misc_feature,""
VCSEN_aTSS3485,1,1310394,1310394,"",misc_feature,""
VC1236,1,1310478,1310924,msrB,CDS,""
VCSEN_ancRNA203,1,1310563,1311265,"",misc_RNA,""
VCSEN_aTSS839,1,1311265,1311265,"",misc_feature,""
VCSEN_aTSS3487,1,1311496,1311496,"",misc_feature,""
VC1237,1,1311535,1312560,"",CDS,""
VC1238,1,1312560,1313345,"",CDS,""
VC1239,1,1313354,1313893,cobP,CDS,""
VC1240,1,1313900,1314502,"",CDS,""
VCSEN_aTSS3489,1,1314559,1314559,"",misc_feature,""
VCSEN_aTSS3491,1,1314798,1314798,"",misc_feature,""
VC1242,1,1314818,1315846,"",CDS,""
VCSEN_aTSS3493,1,1315903,1315903,"",misc_feature,""
VC1244,1,1315927,1316922,btuC,CDS,""
VC1245,1,1316909,1317664,"",CDS,""
VC1246,1,1318049,1318624,"",CDS,""
VCSEN_aTSS841,1,1318651,1318651,"",misc_feature,""
VC1247,1,1318803,1319153,"",CDS,""
VCSEN_aTSS843,1,1319176,1319176,"",misc_feature,""
VC1248,1,1319246,1320856,"",CDS,""
VCSEN_aTSS845,1,1320940,1320940,"",misc_feature,""
VC1249,1,1321087,1321599,"",CDS,""
VCSEN_aTSS3495,1,1321594,1321594,"",misc_feature,""
VCSEN_ancRNA204,1,1321594,1321834,"",misc_RNA,""
VCSEN_aTSS847,1,1321633,1321633,"",misc_feature,""
VC1250,1,1321865,1322764,"",CDS,""
VCSEN_aTSS3497,1,1322643,1322643,"",misc_feature,""
VCSEN_ancRNA205,1,1322643,1322833,"",misc_RNA,""
VCSEN_aTSS849,1,1322851,1322851,"",misc_feature,""
VCSEN_aTSS3499,1,1322913,1322913,"",misc_feature,""
VC1252,1,1322937,1324175,"",CDS,""
VCSEN_aTSS3501,1,1324395,1324395,"",misc_feature,""
VIBCH11201,1,1324425,1324679,"",CDS,""
VC1254,1,1324877,1325155,"",CDS,""
VC1255,1,1325155,1326288,nrdB,CDS,ftsB
VCSEN_aTSS851,1,1326336,1326336,"",misc_feature,""
VC1256,1,1326384,1328669,nrdA,CDS,dnaF
VCSEN_aTSS853,1,1328807,1328807,"",misc_feature,""
VCSEN_aTSS3503,1,1329043,1329043,"",misc_feature,""
VCSEN_ancRNA206,1,1329043,1329492,"",misc_RNA,""
VC1257,1,1329118,1329855,ubiG,CDS,""
VCSEN_aTSS855,1,1329887,1329887,"",misc_feature,""
VCSEN_aTSS857,1,1329948,1329948,"",misc_feature,""
VCSEN_aTSS3505,1,1330091,1330091,"",misc_feature,""
VC1258,1,1330207,1332891,gyrA,CDS,"hisW, nalA, parD, nfxA, norA"
VCSEN_aTSS3507,1,1333083,1333083,"",misc_feature,""
VC1259,1,1333119,1334102,"",CDS,""
VC1260,1,1334129,1335028,"",CDS,""
VCSEN_aTSS3509,1,1334456,1334456,"",misc_feature,""
VCSEN_ancRNA207,1,1334456,1334656,"",misc_RNA,""
VCSEN_aTSS859,1,1335063,1335063,"",misc_feature,""
VCSEN_aTSS3511,1,1335186,1335186,"",misc_feature,""
VC1261,1,1335279,1336493,"",CDS,""
VCSEN_aTSS3513,1,1336651,1336651,"",misc_feature,""
VC1262,1,1336676,1336852,"",CDS,""
VCSEN_aTSS3515,1,1336995,1336995,"",misc_feature,""
VCSEN_aTSS3517,1,1337006,1337006,"",misc_feature,""
VC1263,1,1337077,1337673,ribA,CDS,""
VCSEN_aTSS3519,1,1337799,1337799,"",misc_feature,""
VC1264,1,1337809,1339116,irpA,CDS,""
VC1265,1,1339323,1340708,"",CDS,""
VC1266,1,1340718,1341725,"",CDS,""
VC1267,1,1341706,1342788,"",CDS,""
VCSEN_ancRNA208,1,1342690,1342969,"",misc_RNA,""
VCSEN_aTSS861,1,1342969,1342969,"",misc_feature,""
VCSEN_aTSS3521,1,1343014,1343014,"",misc_feature,""
VC1268,1,1343035,1344609,ldtA,CDS,""
VC1269,1,1344755,1345303,"",CDS,""
VCSEN_aTSS3523,1,1345340,1345340,"",misc_feature,""
VC1270,1,1345367,1346023,"",CDS,""
VC1271,1,1346017,1346691,"",CDS,""
VCSEN_aTSS863,1,1346716,1346716,"",misc_feature,""
VCSEN_aTSS3525,1,1346816,1346816,"",misc_feature,""
VC1272,1,1346837,1347262,"",CDS,""
VCSEN_ancRNA209,1,1347169,1347658,"",misc_RNA,""
VC1273,1,1347648,1348742,"",CDS,""
VCSEN_aTSS865,1,1347658,1347658,"",misc_feature,""
VCSEN_ancRNA210,1,1348298,1348732,"",misc_RNA,""
VCSEN_aTSS867,1,1348732,1348732,"",misc_feature,""
VCSEN_aTSS3527,1,1348754,1348754,"",misc_feature,""
VC1274,1,1348844,1349377,"",CDS,""
VC1275,1,1349387,1350670,"",CDS,""
VC1276,1,1350777,1352132,"",CDS,""
VCSEN_aTSS3529,1,1351949,1351949,"",misc_feature,""
VC1277,1,1352113,1352763,"",CDS,""
VC1278,1,1352765,1353244,cosR,CDS,""
VCSEN_aTSS869,1,1353273,1353273,"",misc_feature,""
VCSEN_aTSS871,1,1353449,1353449,"",misc_feature,""
VCSEN_aTSS3531,1,1353507,1353507,"",misc_feature,""
VC1279,1,1353601,1355223,ApBetT,CDS,""
VC1280,1,1355388,1356671,cod1,CDS,""
VCSEN_aTSS3533,1,1356896,1356896,"",misc_feature,""
VC1281,1,1356926,1357231,chbB,CDS,""
VCSEN_ancRNA211,1,1357288,1357605,"",misc_RNA,""
VC1282,1,1357319,1358650,chbC,CDS,""
VCSEN_aTSS873,1,1357605,1357605,"",misc_feature,""
VC1283,1,1358697,1359032,chbA,CDS,""
VC1284,1,1359014,1360336,chbF,CDS,""
VCSEN_aTSS3535,1,1360013,1360013,"",misc_feature,""
VC1285,1,1360359,1361117,chbG,CDS,""
VCSEN_ancRNA212,1,1360436,1360833,"",misc_RNA,""
VCSEN_aTSS875,1,1360833,1360833,"",misc_feature,""
VCSEN_aTSS3537,1,1361126,1361126,"",misc_feature,""
VC1286,1,1361218,1362240,chbR,CDS,""
VC1287,1,1362386,1364551,mdoH,CDS,""
VC1288,1,1364570,1366207,mdoG,CDS,""
VCSEN_aTSS3539,1,1365346,1365346,"",misc_feature,""
VCSEN_ancRNA213,1,1365346,1366346,"",misc_RNA,""
VCSEN_aTSS877,1,1366307,1366307,"",misc_feature,""
VCSEN_aTSS3541,1,1366583,1366583,"",misc_feature,""
VC1289,1,1366600,1368495,"",CDS,""
VCSEN_aTSS879,1,1366797,1366797,"",misc_feature,""
VC1290,1,1368634,1369344,"",CDS,""
VC1291,1,1369341,1371230,"",CDS,""
VCSEN_aTSS881,1,1371283,1371283,"",misc_feature,""
VC1293,1,1371535,1372725,aspC,CDS,""
VCSEN_aTSS883,1,1372782,1372782,"",misc_feature,""
VC1294,1,1372937,1373122,"",CDS,""
VC1295,1,1373094,1374572,"",CDS,""
VCSEN_aTSS3543,1,1373767,1373767,"",misc_feature,""
VCSEN_ancRNA214,1,1373767,1374647,"",misc_RNA,""
VCSEN_aTSS885,1,1374642,1374642,"",misc_feature,""
VCSEN_aTSS3545,1,1374778,1374778,"",misc_feature,""
VCSEN_ancRNA215,1,1374778,1375015,"",misc_RNA,""
VC1296,1,1375081,1375929,thiD,CDS,""
VC1297,1,1375995,1377395,asnS,CDS,""
VCSEN_aTSS887,1,1377503,1377503,"",misc_feature,""
VC1298,1,1377542,1379173,"",CDS,""
VCSEN_aTSS889,1,1379204,1379204,"",misc_feature,""
VCSEN_aTSS3547,1,1379294,1379294,"",misc_feature,""
VCSEN_ancRNA216,1,1379313,1379583,"",misc_RNA,""
VCSEN_aTSS3549,1,1379551,1379551,"",misc_feature,""
VC1299,1,1379574,1379939,queD,CDS,""
VCSEN_aTSS891,1,1379583,1379583,"",misc_feature,""
VC1300,1,1380028,1381389,sdaA,CDS,""
VCSEN_aTSS3551,1,1381448,1381448,"",misc_feature,""
VCSEN_ancRNA217,1,1381448,1382776,"",misc_RNA,""
VC1301,1,1381482,1382735,sdaC,CDS,dcrA
VCSEN_aTSS893,1,1382770,1382770,"",misc_feature,""
VCSEN_aTSS3553,1,1382843,1382843,"",misc_feature,""
VCSEN_ancRNA218,1,1382843,1383457,"",misc_RNA,""
VC1302,1,1383034,1383648,"",CDS,""
VCSEN_aTSS895,1,1383677,1383677,"",misc_feature,""
VC1303,1,1383845,1385221,pabB,CDS,""
VCSEN_aTSS897,1,1385269,1385269,"",misc_feature,""
VCSEN_aTSS3555,1,1385291,1385291,"",misc_feature,""
VC1304,1,1385397,1386914,"",CDS,""
VCSEN_aTSS3557,1,1387035,1387035,"",misc_feature,""
VC1305,1,1387063,1387248,"",CDS,""
VCSEN_ancRNA219,1,1387303,1387765,"",misc_RNA,""
VC1306,1,1387473,1388846,"",CDS,""
VCSEN_aTSS899,1,1387765,1387765,"",misc_feature,""
VC1307,1,1388843,1389589,"",CDS,""
VCSEN_aTSS3559,1,1389325,1389325,"",misc_feature,""
VCSEN_ancRNA220,1,1389912,1390228,"",misc_RNA,""
VCSEN_aTSS3561,1,1389938,1389938,"",misc_feature,""
VC1308,1,1389975,1391516,tyrR,CDS,""
VCSEN_aTSS901,1,1390228,1390228,"",misc_feature,""
VCSEN_aTSS3563,1,1391280,1391280,"",misc_feature,""
VC1309,1,1391516,1392091,rimJ,CDS,""
VC1310,1,1392186,1392659,"",CDS,""
VC1311,1,1392727,1393605,rhtA,CDS,""
VCSEN_aTSS903,1,1393633,1393633,"",misc_feature,""
VC1312,1,1393726,1394949,bsrV,CDS,""
VCSEN_aTSS3565,1,1394816,1394816,"",misc_feature,""
VCSEN_ancRNA221,1,1394816,1394979,"",misc_RNA,""
VC1313,1,1395061,1396692,"",CDS,""
VCSEN_aTSS905,1,1396780,1396780,"",misc_feature,""
VCSEN_aTSS907,1,1396819,1396819,"",misc_feature,""
VCSEN_aTSS3567,1,1397011,1397011,"",misc_feature,""
VC1314,1,1397077,1398489,"",CDS,""
VC1315,1,1398499,1399848,"",CDS,""
VC1316,1,1399817,1400293,"",CDS,""
VC1317,1,1400321,1401241,"",CDS,""
VC1318,1,1401339,1402112,ompV,CDS,""
VCSEN_aTSS909,1,1402145,1402145,"",misc_feature,""
VC1319,1,1402325,1403647,vprB,CDS,""
VC1320,1,1403673,1404377,vprA,CDS,""
VCSEN_aTSS911,1,1403793,1403793,"",misc_feature,""
VCSEN_aTSS3569,1,1404584,1404584,"",misc_feature,""
VCSEN_ancRNA222,1,1404663,1405110,"",misc_RNA,""
VC1321,1,1404753,1407824,"",CDS,""
VCSEN_aTSS913,1,1405110,1405110,"",misc_feature,""
VCSEN_ancRNA223,1,1407421,1407817,"",misc_RNA,""
VCSEN_aTSS915,1,1407817,1407817,"",misc_feature,""
VC1322,1,1407905,1408120,"",CDS,""
VC1323,1,1408099,1408581,"",CDS,""
VCSEN_aTSS917,1,1408317,1408317,"",misc_feature,""
VCSEN_aTSS3571,1,1408979,1408979,"",misc_feature,""
VC1325,1,1409080,1410054,mglB,CDS,""
VC1327,1,1410260,1411768,mglA,CDS,""
VC1328,1,1411773,1412786,mglC,CDS,""
VCSEN_aTSS3573,1,1413070,1413070,"",misc_feature,""
VC1329,1,1413196,1413834,"",CDS,""
VCSEN_aTSS3575,1,1414106,1414106,"",misc_feature,""
VC1330,1,1414155,1414982,"",CDS,""
VC1332,1,1415133,1416662,"",CDS,""
VCSEN_aTSS3577,1,1415536,1415536,"",misc_feature,""
VCSEN_ancRNA224,1,1415536,1415903,"",misc_RNA,""
VC1333,1,1416672,1417223,"",CDS,""
VC1334,1,1417421,1418392,"",CDS,""
VCSEN_aTSS919,1,1418622,1418622,"",misc_feature,""
VCSEN_aTSS3579,1,1418950,1418950,"",misc_feature,""
VC1335,1,1419022,1419729,"",CDS,""
VC1336,1,1419710,1420636,prpB,CDS,""
VCSEN_aTSS3581,1,1420632,1420632,"",misc_feature,""
VC1337,1,1420812,1421945,prpC,CDS,""
VC1338,1,1422041,1424647,acnA,CDS,""
VCSEN_ancRNA225,1,1423055,1423330,"",misc_RNA,""
VCSEN_aTSS921,1,1423330,1423330,"",misc_feature,""
VC1339,1,1424656,1425858,"",CDS,""
VC1340,1,1425842,1427740,prpE,CDS,""
VCSEN_aTSS3583,1,1427889,1427889,"",misc_feature,""
VC1341,1,1427914,1428390,"",CDS,""
VC1342,1,1428471,1429868,"",CDS,""
VC1343,1,1429934,1431040,"",CDS,""
VCSEN_aTSS923,1,1431064,1431064,"",misc_feature,""
VCSEN_aTSS3585,1,1431475,1431475,"",misc_feature,""
VC1344,1,1431500,1432573,hpd,CDS,""
VC1345,1,1432566,1433702,hmgA,CDS,""
VC1346,1,1433709,1434728,"",CDS,""
VCSEN_aTSS3587,1,1434537,1434537,"",misc_feature,""
VC1347,1,1434725,1435372,maiA,CDS,""
VC1348,1,1435354,1436493,"",CDS,""
VCSEN_aTSS925,1,1436550,1436550,"",misc_feature,""
VCSEN_aTSS3589,1,1436577,1436577,"",misc_feature,""
VC1349,1,1436615,1440610,"",CDS,""
VC1350,1,1440716,1441189,PRXIID,CDS,""
VCSEN_aTSS927,1,1441242,1441242,"",misc_feature,""
VCSEN_aTSS929,1,1441253,1441253,"",misc_feature,""
VCSEN_aTSS3591,1,1441410,1441410,"",misc_feature,""
